2022-04-13T23:08:03.717577, DEBUG, debug, run, Execution started
2022-04-13T23:08:03.720433, DEBUG, debug, run, Execution finished
2022-04-13T23:08:11.911675, DEBUG, debug, Index, Execution started
2022-04-13T23:08:11.911994, DEBUG, debug, Index, Execution finished
2022-04-13T23:08:11.912280, DEBUG, debug, run, Execution started
2022-04-13T23:08:11.915257, DEBUG, debug, run, Execution finished
2022-04-13T23:08:24.431420, DEBUG, debug, Index, Execution started
2022-04-13T23:08:24.431765, DEBUG, debug, Index, Execution finished
2022-04-13T23:08:24.432078, DEBUG, debug, run, Execution started
2022-04-13T23:08:24.435000, DEBUG, debug, run, Execution finished
2022-04-13T23:08:46.509048, DEBUG, debug, Index, Execution started
2022-04-13T23:08:46.509413, DEBUG, debug, Index, Execution finished
2022-04-13T23:08:46.509725, DEBUG, debug, run, Execution started
2022-04-13T23:08:46.512584, DEBUG, debug, run, Execution finished
2022-04-13T23:08:53.712498, DEBUG, debug, Index, Execution started
2022-04-13T23:08:53.712817, DEBUG, debug, Index, Execution finished
2022-04-13T23:08:53.713097, DEBUG, debug, run, Execution started
2022-04-13T23:08:53.715876, DEBUG, debug, run, Execution finished
2022-04-13T23:09:10.414170, DEBUG, debug, Index, Execution started
2022-04-13T23:09:10.414509, DEBUG, debug, Index, Execution finished
2022-04-13T23:09:10.414793, DEBUG, debug, run, Execution started
2022-04-13T23:09:10.417623, DEBUG, debug, run, Execution finished
2022-04-13T23:09:25.599582, DEBUG, debug, Index, Execution started
2022-04-13T23:09:25.599925, DEBUG, debug, Index, Execution finished
2022-04-13T23:09:25.600212, DEBUG, debug, run, Execution started
2022-04-13T23:09:25.603029, DEBUG, debug, run, Execution finished
2022-04-13T23:09:35.385043, DEBUG, debug, Index, Execution started
2022-04-13T23:09:35.385412, DEBUG, debug, Index, Execution finished
2022-04-13T23:09:35.385729, DEBUG, debug, run, Execution started
2022-04-13T23:09:35.388646, DEBUG, debug, run, Execution finished
2022-04-14T00:42:58.037214, DEBUG, debug, app, Test debug message
2022-04-14T00:43:04.029304, DEBUG, debug, Index, Execution started
2022-04-14T00:43:04.029665, DEBUG, debug, Index, Execution finished
2022-04-14T00:43:04.030071, DEBUG, debug, run, Execution started
2022-04-14T00:43:04.033187, DEBUG, debug, run, Execution finished
2022-04-14T00:43:41.664286, DEBUG, debug, app, Test debug message
